"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Bicycle (number)","Bicycle (percent)","Car, truck, or van (number)","Car, truck, or van (percent)","Public transportation (number)","Public transportation (percent)","Walked (number)","Walked (percent)"
"2017-21","Citywide","1","0","New York City","54,919","1.4","1,082,647","26.8","2,007,988","49.7","384,380","9.5"
"2017-21","Borough","5","1","Staten Island","408","0.2","138,342","63.0","57,509","26.2","6,023","2.7"
"2017-21","Borough","1","1","Bronx","2,589","0.4","164,218","28.4","324,274","56.1","41,772","7.2"
"2017-21","Borough","3","1","Manhattan","20,706","2.3","67,721","7.6","450,560","50.8","167,318","18.9"
"2017-21","Borough","4","1","Queens","7,082","0.6","437,872","38.9","511,929","45.5","64,864","5.8"
"2017-21","Borough","2","1","Brooklyn","24,134","2.0","274,494","22.3","663,716","53.8","104,403","8.5"
"2017-21","UHF 42","501","4","Port Richmond","26","0.1","18,396","59.3","9,028","29.1","1,332","4.3"
"2017-21","UHF 42","503","4","Willowbrook","27","0.1","28,163","68.0","9,041","21.8","786","1.9"
"2017-21","UHF 42","404","4","Bayside - Little Neck","70","0.2","26,762","58.9","12,308","27.1","1,647","3.6"
"2017-21","UHF 42","406","4","Fresh Meadows","77","0.2","21,987","48.7","15,705","34.8","2,541","5.6"
"2017-21","UHF 42","410","4","Rockaways","416","0.8","27,230","52.0","17,234","32.9","2,955","5.6"
"2017-21","UHF 42","310","4","Lower Manhattan","429","1.1","1,901","4.9","18,600","47.6","9,922","25.4"
"2017-21","UHF 42","101","4","Kingsbridge - Riverdale","117","0.3","13,210","32.4","19,332","47.4","2,955","7.2"
"2017-21","UHF 42","502","4","Stapleton - St. George","280","0.5","28,865","52.0","19,575","35.2","2,612","4.7"
"2017-21","UHF 42","504","4","South Beach - Tottenville","75","0.1","62,918","68.7","19,865","21.7","1,293","1.4"
"2017-21","UHF 42","308","4","Greenwich Village - SoHo","1,897","3.8","2,941","5.9","22,120","44.4","10,257","20.6"
"2017-21","UHF 42","307","4","Gramercy Park - Murray Hill","1,728","2.0","5,890","6.8","27,994","32.1","30,524","35.0"
"2017-21","UHF 42","205","4","Sunset Park","1,282","2.4","11,345","20.9","28,425","52.4","7,424","13.7"
"2017-21","UHF 42","303","4","East Harlem","875","2.0","3,606","8.1","30,048","67.5","4,618","10.4"
"2017-21","UHF 42","107","4","Hunts Point - Mott Haven","329","0.6","10,234","19.6","32,027","61.3","5,346","10.2"
"2017-21","UHF 42","201","4","Greenpoint","2,618","4.3","7,150","11.8","32,126","53.0","6,705","11.1"
"2017-21","UHF 42","403","4","Flushing - Clearview","493","0.4","55,294","48.2","38,394","33.5","11,755","10.3"
"2017-21","UHF 42","102","4","Northeast Bronx","212","0.2","39,660","43.5","40,556","44.5","4,464","4.9"
"2017-21","UHF 42","409","4","Southeast Queens","295","0.2","102,601","64.2","41,082","25.7","3,080","1.9"
"2017-21","UHF 42","306","4","Chelsea - Clinton","3,028","3.0","5,345","5.3","43,685","43.0","26,959","26.5"
"2017-21","UHF 42","208","4","Canarsie - Flatlands","304","0.3","40,027","42.4","44,767","47.4","2,998","3.2"
"2017-21","UHF 42","309","4","Union Square - Lower East Side","4,950","5.1","6,339","6.6","44,995","46.6","22,104","22.9"
"2017-21","UHF 42","209","4","Bensonhurst - Bay Ridge","1,089","1.1","27,925","29.1","47,723","49.7","7,414","7.7"
"2017-21","UHF 42","204","4","East New York","514","0.6","20,775","25.8","49,591","61.5","2,953","3.7"
"2017-21","UHF 42","302","4","Central Harlem - Morningside Heights","1,352","1.6","7,779","9.3","51,887","62.0","9,330","11.1"
"2017-21","UHF 42","105","4","Crotona -Tremont","324","0.4","17,885","21.8","52,121","63.5","4,953","6.0"
"2017-21","UHF 42","106","4","High Bridge - Morrisania","393","0.5","14,309","17.6","53,415","65.7","8,008","9.8"
"2017-21","UHF 42","210","4","Coney Island - Sheepshead Bay","980","0.8","40,604","33.2","56,200","46.0","11,199","9.2"
"2017-21","UHF 42","407","4","Southwest Queens","395","0.3","61,307","44.8","58,887","43.0","5,926","4.3"
"2017-21","UHF 42","206","4","Borough Park","2,121","1.6","36,945","27.6","58,952","44.0","19,937","14.9"
"2017-21","UHF 42","305","4","Upper East Side","1,472","1.2","10,222","8.3","60,002","48.8","23,569","19.2"
"2017-21","UHF 42","104","4","Pelham - Throgs Neck","577","0.5","48,048","37.8","61,334","48.3","7,450","5.9"
"2017-21","UHF 42","304","4","Upper West Side","3,895","3.2","8,536","7.0","62,148","50.7","16,009","13.1"
"2017-21","UHF 42","408","4","Jamaica","315","0.2","65,816","44.2","65,492","44.0","6,064","4.1"
"2017-21","UHF 42","211","4","Williamsburg - Bushwick","3,282","3.0","17,204","15.5","66,689","60.1","9,125","8.2"
"2017-21","UHF 42","103","4","Fordham - Bronx Pk","637","0.6","21,636","20.1","68,029","63.1","9,080","8.4"
"2017-21","UHF 42","405","4","Ridgewood - Forest Hills","1,121","0.8","42,691","31.4","68,087","50.0","7,748","5.7"
"2017-21","UHF 42","401","4","Long Island City - Astoria","1,901","1.6","17,957","15.3","72,309","61.8","6,391","5.5"
"2017-21","UHF 42","202","4","Downtown - Heights - Slope","5,039","3.4","13,480","9.1","78,141","52.8","16,636","11.2"
"2017-21","UHF 42","301","4","Washington Heights","1,080","0.8","14,398","10.7","86,541","64.3","13,542","10.1"
"2017-21","UHF 42","207","4","East Flatbush - Flatbush","1,748","1.2","31,817","21.7","89,710","61.1","7,259","4.9"
"2017-21","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","4,300","2.6","24,712","15.0","101,290","61.6","9,851","6.0"
"2017-21","UHF 42","402","4","West Queens","2,095","0.9","56,029","25.0","131,456","58.8","17,834","8.0"
"2017-21","Community District Tabulation Area","6105","7","Midtown-Flatiron-Union Square (CD 5)","394","1.3","1,579","5.1","11,915","38.7","10,178","33.1"
"2017-21","Community District Tabulation Area","502","7","Longwood-Hunts Point (CD 2)","177","0.9","4,611","22.9","12,097","60.1","2,210","11.0"
"2017-21","Community District Tabulation Area","8502","7","Mid-Island (CD 2)","86","0.1","38,612","63.2","15,602","25.6","1,850","3.0"
"2017-21","Community District Tabulation Area","8111","7","Auburndale-Bayside-Douglaston (CD 11)","96","0.2","35,073","59.2","16,255","27.4","1,958","3.3"
"2017-21","Community District Tabulation Area","8503","7","South Shore (CD 3)","75","0.1","55,293","69.9","16,410","20.7","1,045","1.3"
